user,number,title,body
xiaoya-yaya,572,[Metrics] Common Metrics - Burstiness,"**Description**:
- Short timeframes of intense activity, followed by a corresponding return to a typical pattern of activity, observed in a project.
- Burstiness is a way of understanding the cycle of activity in existing metrics, like issues, merge requests, mailing lists, commits, or comments.

**Filters**
- Stars
- Forks
- Issues or bug reports
- Labels
- Downloads
- Release Tags
- Change Requests
- Documentation additions or revisions
- New Repositories
- Feature Requests

**Instances of Implementation** 
![image](https://user-images.githubusercontent.com/56542972/120341442-73def880-c329-11eb-9de3-33670b92878a.png)
![image](https://user-images.githubusercontent.com/56542972/120341467-79d4d980-c329-11eb-9f03-896c64a0a532.png)



**Resource**
- CHAOSS: Common Metrics -> When
- https://chaoss.community/metric-burstiness/
"
will-ww,767,"[Proposal] Open Source Community Management Metrics, Indicators, and Dashboards Handbook","I propose to draft a handbook about open source metrology with metrics, indicators, and dashboards tools. Here:
- metrics: 度量元
- indicator：指标
- dashboards：基于场景的数据仪表盘

We can carry out a senario driven methodology to desigh the big picture with a framwork.

**Goal**: the goal of the open source community management is to drive the community into a health and sustainable path, which can continuously create value.

The whole community management framework can be describe below:

![3cd98cd5870ec875a3b525e19c9a185](https://user-images.githubusercontent.com/15010826/157574334-f488feb0-42e5-4d83-acd4-cc96865bc989.png)

 "
will-ww,782,[idea] Use notebook as a teaching tool in our open source course,"As the notebook tool become stable and the required data available, we can use them as the teaching tool in your courses not only for gradate students but also undergraduates.

Do you have any suggestions, please let me know.

**Course**: 
- Undergraduste: https://github.com/TieWay59/22-Spring-OSDD
- Graduate: https://github.com/X-lab2017/OSSDevGov2021

**Notebook**:
- [Handbook](https://github.com/X-lab2017/open-digger/blob/master/notebook/handbook_zh.ipynb)
- [Case: Chinese open source annual report](https://github.com/X-lab2017/open-digger/blob/master/notebook/Chinese_open_source_annual_report.ipynb)
- [Case: Hacking force](https://github.com/X-lab2017/open-digger/blob/master/notebook/hacking_force.ipynb)

I will also want to use these tools to design courses for enterprises with these reqirements.
"
frank-zsy,864,[Labeled data] Need to add X-lab members into OpenDigger,"For more convenient management in X-lab, we also need to add X-lab members labeled data into OpenDigger to better analysis in the future. Please feel free to add your name and account in this issue."
frank-zsy,1183,[Doc] Add more website docs for implemented metrics,"### Description

As xiaoya opened the issue #1180 , and I add an example [page](http://www.x-lab.info/open-digger/#/metrics/openrank) in OpenDigger website for OpenRank index.

We can add more docs about the metrics and indices we implemented in OpenDigger. The page content should contain:

- The badges about the type( Metric, Index or Network), from (X-lab, CHAOSS), for ( Repo, Developer)
- The definition section for description
- The code section to provide links
- [Optional]The parameters section to show how the parameters are set for the exported data
- CodePen demo section to provide a playground to show how to consume the data

All the CodePen demos are in the README file. We can embed them in the page directly with editable mode enabled."
tyn1998,1208,[Cron] could you generate data for OpenGalaxy?,"### Description

Reference: https://github.com/X-lab2017/open-galaxy/issues/34

Hi guys, may I request for a cron task generating data for [OpenGalaxy](https://github.com/X-lab2017/open-galaxy)? If you can help, please describe how you will have filtered nodes and links to decrease the size of the graph data when the PR is created.

### Cron Expression

every month"
frank-zsy,1209,feat: add export task for OpenGalaxy with ngraph,"close #1208 

This PR contains a new task to export OpenGalaxy data by month from Neo4j database.

The task process should be able to:

- [x] Export whole GitHub user-repo activity network data by month.
- [x] Export data with format that can be used be OpenGalaxy now.
- [x] Support continuous 3d layout in timeline.
- [x] Export OpenDigger repo label data at same time."
Zzzzzhuzhiwei,1238,"OpenDigger Biweekly Meetings, 2023","# 🌿 OpenDigger Biweekly Meetings, 2022-2023 Spring Term
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474（[link](https://meeting.tencent.com/dm/2p9cBy32diTG)）
#
| Week📆 | Date🕣 | Host💂‍♂️ | Core Content🔑 | Discussion🔗 | Video🎥 |
| --- | --- | --- | --- | --- | --- |
|  02   | 03-08   | @xgdyp    | The development planning of OpenDigger  |    |    |
|  04   | 03-22   | @xgdyp    |  An introduction to the process of OpenSODA   |  #1237   |    |
|  06   | 04-05   | @xgdyp    | The process of the OpenSODA Challenge  | #1247    |    |
|  08  | 04-19   | @xgdyp    | The idea of the OSPP 2023  | #1252    |    |
|  10  | 05-03   | @Zzzzzhuzhiwei      | The projects of the OSPP 2023  | #1277     |    |
|  12  | 05-17   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1293     |     |
|  14  | 05-31   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1304      |    |
|  16  | 06-14   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1317      |    |
|  18 | 06-28   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1326      |    |
|  20 | 07-12   | @Zzzzzhuzhiwei      | The overview of two weeks, OSPP and China Open Source report 2023 | #1335      |    |
|  22 | 07-26   | @Zzzzzhuzhiwei      | The overview of two weeks ,OSPP and China Open Source report 2023 | #1348      |    |
|    | 08-09   | @Zzzzzhuzhiwei      | The overview of two weeks ,OSPP and China Open Source report 2023 | #1384      | [link](https://meeting.tencent.com/v2/cloud-record/share?id=ff2473cd-290f-44e8-a953-c05182c98731&from=3)  |
|    | 09-06   | @Zzzzzhuzhiwei      | The overview of two weeks ,OSPP and China Open Source report 2023 | #1384      | [link](https://meeting.tencent.com/v2/cloud-record/share?id=b5372c23-556e-400f-be50-94fcc4196280&from=3)  |
|  02 | 09-20   | @Zzzzzhuzhiwei      | The overview of two weeks ,OSPP and China Open Source report 2023 | #1385      |  [link](https://meeting.tencent.com/v2/cloud-record/share?id=dbf56be8-9782-4233-86db-711ccc5dafdb&from=3)  |
|  04 | 10-04   | @Zzzzzhuzhiwei      | The overview of two weeks ,OSPP and China Open Source report 2023 | #1396      |   |
|  06 | 10-18   | @Zzzzzhuzhiwei      | The overview of two weeks and China Open Source report 2023 | #1411      |   |
|  08 | 11-01   | @Zzzzzhuzhiwei      | The overview of two weeks and China Open Source report 2023 | #1420      |   |
|  10 | 11-15   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1428      |   |
|  12 | 11-29   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1435      |   |
|  14 | 12-13   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1444      |   |
|  16 | 12-27   | @Zzzzzhuzhiwei      | The overview of two weeks  | #1456      |   |"
bifenglin,1242,feat: add issue comment TFIDF similarity metrics and issue comment Ja…,"This PR adds the metric about actors' comment TFIDF similarity and actors' Jaccard similarity.
"
will-ww,1263,[Feature] Tools like 'Star History' is interesting,"### Description

When more and more community use OpenDigger metrics to how the development of the community. For example, see below:

![652949fb310fd85be0f9d63c4c00811](https://user-images.githubusercontent.com/15010826/233823209-7f3bf526-b161-4ef3-b979-d5c28b5fb4b8.jpg)

 I think we can provide more convenient way to help developers. For example, the project of [Star History](https://github.com/star-history/star-history),

![image](https://user-images.githubusercontent.com/15010826/233823301-c4092e63-e526-4847-871b-4d3a55fba566.png)

This kind of tool is so funny and help to propagate~

https://star-history.com/#X-lab2017/open-digger&Date"
